,role,buy,round,sell,time
295,spades,36,13.0,32,2024-02-22 18:27:30
296,spades,36,13.0,34,2024-02-22 18:27:32
297,spades,34,13.0,32,2024-02-22 18:27:34
298,spades,34,13.0,30,2024-02-22 18:28:02
299,spades,36,14.0,32,2024-02-22 18:28:40
300,spades,34,14.0,30,2024-02-22 18:28:45
301,spades,30,14.0,27,2024-02-22 18:28:51
302,spades,30,14.0,26,2024-02-22 18:28:53
303,spades,28,14.0,24,2024-02-22 18:29:03
304,spades,27,14.0,24,2024-02-22 18:29:18
305,spades,28,14.0,24,2024-02-22 18:29:19
306,spades,31,14.0,27,2024-02-22 18:29:40
307,spades,32,14.0,28,2024-02-22 18:29:44
308,spades,32,15.0,28,2024-02-22 18:29:59
309,spades,33,15.0,29,2024-02-22 18:30:11
310,spades,30,15.0,26,2024-02-22 18:30:14
311,spades,27,15.0,23,2024-02-22 18:30:37
312,spades,29,15.0,25,2024-02-22 18:31:25
313,spades,30,16.0,26,2024-02-22 18:31:49
314,spades,28,16.0,26,2024-02-22 18:31:57
315,spades,27,16.0,26,2024-02-22 18:32:00
316,spades,27,16.0,25,2024-02-22 18:32:04
317,spades,27,16.0,26,2024-02-22 18:32:24
318,spades,29,16.0,28,2024-02-22 18:32:43
319,spades,29,16.0,28,2024-02-22 18:32:51
320,spades,31,16.0,28,2024-02-22 18:32:56
321,spades,32,17.0,30,2024-02-22 18:33:17
322,spades,32,17.0,28,2024-02-22 18:33:21
323,spades,32,17.0,30,2024-02-22 18:33:48
324,spades,32,17.0,31,2024-02-22 18:33:53
325,spades,35,17.0,31,2024-02-22 18:34:05
326,spades,37,17.0,33,2024-02-22 18:34:08
327,spades,37,17.0,35,2024-02-22 18:34:22
328,spades,38,18.0,35,2024-02-22 18:34:44
329,spades,39,18.0,37,2024-02-22 18:34:50
330,spades,38,18.0,37,2024-02-22 18:34:59
331,spades,38,18.0,35,2024-02-22 18:35:01
332,spades,36,18.0,34,2024-02-22 18:35:05
333,spades,32,18.0,30,2024-02-22 18:35:26
334,spades,32,18.0,30,2024-02-22 18:35:32
335,spades,31,19.0,27,2024-02-22 18:36:17
336,spades,27,19.0,24,2024-02-22 18:36:25
337,spades,27,19.0,25,2024-02-22 18:36:37
338,spades,28,19.0,26,2024-02-22 18:37:17
339,spades,28,19.0,26,2024-02-22 18:37:20
340,spades,30,19.0,27,2024-02-22 18:37:25
341,spades,31,19.0,27,2024-02-22 18:37:27
342,spades,33,19.0,29,2024-02-22 18:37:32
343,spades,29,20.0,25,2024-02-22 18:37:48
344,spades,27,20.0,23,2024-02-22 18:37:50
345,spades,24,20.0,20,2024-02-22 18:37:55
346,spades,22,20.0,18,2024-02-22 18:38:34
347,spades,20,20.0,16,2024-02-22 18:38:51
348,spades,18,20.0,16,2024-02-22 18:38:57
349,spades,18,20.0,16,2024-02-22 18:39:03
350,spades,20,20.0,16,2024-02-22 18:39:13
351,spades,23,21.0,19,2024-02-22 18:39:33
352,spades,21,21.0,19,2024-02-22 18:39:52
353,spades,23,21.0,19,2024-02-22 18:40:19
354,spades,20,21.0,16,2024-02-22 18:40:29
355,spades,19,21.0,16,2024-02-22 18:40:33
356,spades,19,21.0,15,2024-02-22 18:40:39
357,spades,18,21.0,14,2024-02-22 18:40:42
358,spades,21,22.0,17,2024-02-22 18:41:01
359,spades,24,22.0,20,2024-02-22 18:41:04
360,spades,27,22.0,23,2024-02-22 18:41:10
361,spades,17,22.0,15,2024-02-22 18:41:30
362,spades,17,22.0,13,2024-02-22 18:41:33
363,spades,15,22.0,13,2024-02-22 18:41:37
364,spades,15,22.0,13,2024-02-22 18:41:41
365,spades,17,22.0,13,2024-02-22 18:41:50
366,spades,19,22.0,15,2024-02-22 18:42:02
367,spades,21,22.0,17,2024-02-22 18:42:10
368,spades,22,22.0,18,2024-02-22 18:42:16
369,spades,24,23.0,20,2024-02-22 18:42:35
370,spades,20,23.0,16,2024-02-22 18:42:42
371,spades,18,23.0,16,2024-02-22 18:42:48
372,spades,25,23.0,21,2024-02-22 18:42:58
373,spades,25,23.0,21,2024-02-22 18:43:01
374,spades,23,23.0,21,2024-02-22 18:43:10
375,spades,23,23.0,22,2024-02-22 18:43:23
376,spades,26,24.0,24,2024-02-22 18:44:10
377,spades,28,24.0,24,2024-02-22 18:44:14
378,spades,29,24.0,26,2024-02-22 18:44:19
379,spades,28,24.0,25,2024-02-22 18:44:28
380,spades,28,25.0,25,2024-02-22 18:46:55
381,spades,30,25.0,28,2024-02-22 18:47:01
382,spades,30,25.0,28,2024-02-22 18:47:06
383,spades,26,25.0,22,2024-02-22 18:47:25
384,spades,22,25.0,18,2024-02-22 18:47:32
385,spades,22,25.0,20,2024-02-22 18:47:37
386,spades,22,25.0,20,2024-02-22 18:47:39
